"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2015","854.42","846.13","855.80","841.52","599.22M","1.20%"
"02/19/2015","864.14","862.32","865.72","857.39","688.90M","1.14%"
"02/20/2015","854.89","863.59","865.07","851.14","525.24M","-1.07%"
"02/23/2015","862.88","854.87","863.21","848.50","624.82M","0.93%"
"02/24/2015","866.91","864.24","867.94","860.11","711.71M","0.47%"
"02/25/2015","867.33","872.64","878.47","864.70","744.45M","0.05%"
"02/26/2015","859.15","864.90","873.98","859.04","775.37M","-0.94%"
"02/27/2015","841.48","860.95","864.37","837.85","862.62M","-2.06%"
"03/02/2015","839.47","844.05","846.74","838.58","558.69M","-0.24%"
"03/03/2015","843.04","843.64","846.71","835.09","540.99M","0.43%"
"03/04/2015","820.67","842.42","843.81","819.81","643.80M","-2.65%"
"03/05/2015","807.80","809.70","815.58","800.14","1.07B","-1.57%"
"03/06/2015","803.10","809.27","823.39","800.45","842.03M","-0.58%"
"03/09/2015","806.45","812.07","817.57","805.86","727.36M","0.42%"
"03/10/2015","779.77","808.20","810.51","779.77","818.34M","-3.31%"
"03/11/2015","782.77","782.58","788.60","766.57","817.28M","0.38%"
"03/12/2015","782.93","793.33","795.53","775.47","699.70M","0.02%"
"03/13/2015","766.42","785.64","790.98","766.42","696.65M","-2.11%"
"03/16/2015","781.96","776.77","784.84","771.78","594.96M","2.03%"
"03/17/2015","800.31","787.63","801.04","786.78","679.28M","2.35%"
"03/18/2015","799.42","799.73","801.91","791.60","672.44M","-0.11%"
"03/19/2015","819.22","814.75","821.87","812.21","818.70M","2.48%"
"03/20/2015","825.06","822.48","827.32","816.46","681.48M","0.71%"
"03/23/2015","837.42","825.70","837.68","824.29","601.84M","1.50%"
"03/24/2015","820.33","836.55","837.49","817.06","759.80M","-2.04%"
"03/25/2015","826.49","825.81","836.38","821.79","630.80M","0.75%"
"03/26/2015","814.82","812.81","814.82","806.96","686.66M","-1.41%"
"03/27/2015","808.94","812.41","812.59","802.34","632.38M","-0.72%"
"03/30/2015","821.84","808.76","822.09","804.64","605.41M","1.59%"
"03/31/2015","808.46","822.31","825.38","805.28","633.96M","-1.63%"
"04/01/2015","812.09","810.90","815.04","806.50","558.20M","0.45%"
"04/02/2015","816.76","814.32","819.38","812.92","481.36M","0.58%"
"04/03/2015","829.94","819.74","830.47","815.01","458.66M","1.61%"
"04/06/2015","831.30","823.44","831.30","822.56","477.19M","0.16%"
"04/07/2015","824.66","830.54","830.54","818.94","552.52M","-0.80%"
"04/08/2015","827.99","824.96","828.85","820.05","688.24M","0.40%"
"04/09/2015","835.14","824.43","836.34","824.12","711.43M","0.86%"
"04/10/2015","826.46","833.75","837.86","822.03","638.45M","-1.04%"
"04/13/2015","819.38","826.31","830.77","816.35","718.70M","-0.86%"
"04/14/2015","823.20","816.10","824.82","807.04","817.66M","0.47%"
"04/15/2015","813.58","819.53","821.38","812.22","693.34M","-1.17%"
"04/16/2015","824.37","819.70","826.99","816.44","762.02M","1.33%"
"04/17/2015","824.18","830.07","833.39","822.30","683.92M","-0.02%"
"04/20/2015","823.03","828.31","830.78","821.68","582.40M","-0.14%"
"04/21/2015","842.78","821.19","842.78","818.26","779.20M","2.40%"
"04/22/2015","837.80","843.97","847.71","837.19","850.10M","-0.59%"
"04/24/2015","855.51","841.65","855.80","841.42","723.69M","2.11%"
"04/27/2015","864.02","856.89","866.24","853.00","880.68M","0.99%"
"04/28/2015","862.09","864.86","867.55","860.00","758.25M","-0.22%"
"04/29/2015","859.78","863.96","866.70","858.42","642.77M","-0.27%"
"04/30/2015","839.47","861.56","863.55","839.47","670.51M","-2.36%"
"05/04/2015","840.19","838.81","843.05","832.39","549.42M","0.09%"
"05/05/2015","833.81","839.75","846.06","833.04","543.95M","-0.76%"
"05/06/2015","824.41","837.43","837.43","823.45","663.15M","-1.13%"
"05/07/2015","825.70","825.20","827.99","817.54","613.10M","0.16%"
"05/08/2015","840.60","827.22","842.70","822.08","627.02M","1.80%"
"05/11/2015","847.53","841.62","852.37","841.62","649.49M","0.82%"
"05/12/2015","853.63","848.66","853.99","842.89","659.15M","0.72%"
"05/13/2015","864.17","854.90","865.63","854.90","822.18M","1.23%"
"05/14/2015","872.44","864.56","876.51","861.61","878.02M","0.96%"
"05/15/2015","876.05","874.50","879.96","871.84","579.62M","0.41%"
